Flow_ID, TxOffered(Mbps), T_put(Mbps)
13, 1.91537, 0.72529, 
15, 2.79225, 0.385874, 
20, 2.85277, 0.64943, 
21, 2.8988, 0.703954, 
23, 2.04226, 0, 
27, 3.37179, 0.591907, 
37, 2.32828, 0, 
38, 3.03161, 0, 
46, 2.07934, 0.432815, 
47, 2.6913, 0.578801, 
51, 2.21919, 0, 
52, 3.05206, 0.444377, 
55, 2.13699, 0.410234, 
56, 2.94135, 0.599482, 
58, 3.07157, 0, 
62, 3.27087, 0.597387, 
