Flow_ID, TxOffered(Mbps), T_put(Mbps)
3, 2.20051, 1.19996, 
4, 2.78255, 3.02116, 
10, 2.20049, 0, 
11, 2.49605, 0.015694, 
12, 2.07496, 0, 
17, 2.26764, 0, 
18, 1.9561, 0, 
25, 2.78379, 0, 
26, 1.69213, 0, 
31, 1.96981, 0, 
34, 1.42564, 0.000431742, 
42, 2.79024, 0, 
44, 3.28552, 0.00181133, 
45, 2.3102, 0, 
49, 2.24667, 0, 
61, 1.79411, 0, 
