Flow_ID, TxOffered(Mbps), T_put(Mbps)
1, 2.25644, 0.59555, 
2, 2.22677, 1.55085, 
6, 2.65088, 0.313091, 
9, 2.56093, 0.51717, 
14, 1.57206, 0, 
22, 0.869204, 0.00224488, 
29, 3.55589, 0, 
36, 1.70827, 0.00211201, 
39, 1.56146, 0, 
41, 3.48241, 0, 
43, 2.46657, 0, 
48, 3.29955, 0.0439166, 
53, 2.75844, 0, 
57, 1.67296, 0, 
60, 2.48377, 0.00150842, 
64, 2.18178, 0, 
